Number,Divergence
188,-1.6036647139117122e-05
189,5.695377240044763e-06
190,4.892241122433916e-06
191,-1.0982033018080983e-05
192,-6.938525984878652e-06
193,-7.00768623573822e-06
194,2.5770232241484337e-06
195,-1.2741968930640724e-05
196,1.1874775736941956e-05
197,3.0023456929484382e-06
198,1.0973172720696311e-05
199,9.009969517137506e-07
200,5.518869784282288e-06
201,9.903473255690187e-06
202,6.191658940224443e-06
203,-5.646819317917107e-06
204,1.1379569514247123e-05
205,-1.0042896064987872e-05
206,-6.400358415703522e-06
207,5.959043392067542e-06
208,-8.795364010438789e-06
209,3.588411118471413e-06
210,-5.83981318413862e-06
211,1.4563712284143548e-05
212,-1.607887134014163e-05
213,-9.11601455300115e-06
214,1.545997292851098e-05
215,-1.1359656127751805e-05
216,3.541594196576625e-06
217,7.242886567837559e-06
218,-6.859318546048598e-06
219,3.1098484214453492e-06
220,-9.173721082333941e-06
221,-4.844893624067481e-07
222,-1.1938043826376088e-05
223,9.337337360193487e-06
224,-1.2726140084851068e-05
225,3.857659521599999e-06
226,1.675528983469121e-05
227,1.731360680423677e-05
228,8.110027920338325e-06
229,-1.5971862012520432e-05
230,-1.1617949894571211e-05
231,-1.6060395864769816e-05
232,2.434675252516172e-06
233,-5.800823146273615e-06
234,9.86841223493684e-06
235,-1.1097986316599417e-05
236,-7.89683144830633e-06
237,4.319938852859195e-06
238,-7.036651823000284e-06
239,1.2770963621733245e-05
240,-1.8280943550053053e-06
241,-6.459757514676312e-06
242,1.2266632438695524e-05
243,-9.962721378542483e-06
244,9.558390047459397e-06
245,1.4193042261467781e-05
246,-1.1394277862564195e-05
247,-8.667887414048892e-06
248,-2.163639464924927e-06
249,-1.1973373148066457e-05
250,1.974298356799409e-06
251,1.3595928066933993e-05
252,2.5743213427631417e-06
253,-1.7926247892319225e-05
254,-3.083293904637685e-06
255,-1.5689252904849127e-05
256,-1.1298580830043647e-05
257,1.1344490303599741e-05
258,-5.113412044011056e-06
259,-9.35700700210873e-06
260,4.679689482145477e-06
261,8.821426490612794e-06
262,-2.1766352347185602e-06
263,3.27617044604267e-07
264,-1.206576416734606e-05
265,1.7245154595002532e-05
266,1.2199284356029239e-06
267,-2.5070613673960906e-07
268,-5.73440911466605e-06
269,1.6525578757864423e-05
270,-1.2763874110532925e-05
271,-8.659816558065359e-06
272,1.5989849998732097e-05
273,-1.0056165592686739e-05
274,-6.146359737613238e-06
275,6.75463843435864e-06
276,-8.064342864599894e-07
277,-1.6097155821626075e-05
278,7.472157449228689e-06
279,6.95689504937036e-06
280,9.06628520169761e-06
281,-1.589168095961213e-05
282,-1.2603688446688466e-05
283,7.721051588305272e-06
284,4.358940259407973e-06
285,1.6519476048415527e-05
286,1.617297311895527e-05
287,1.552021967654582e-05
288,-7.626125807291828e-06
289,9.796247468329966e-06
290,-7.771920536470134e-06
291,1.3000038961763494e-05
292,9.010012036014814e-06
293,1.795617390598636e-05
294,-8.336488463100977e-06
295,7.1411482167604845e-06
296,9.832109753915574e-06
297,5.459966814669315e-06
298,3.3952121611946495e-06
299,6.389264854078647e-06
300,4.078375241078902e-06
301,-1.3313197996467352e-05
302,7.552715032943524e-06
303,7.529343292844715e-06
304,-5.321441221894929e-06
305,-6.341038442769786e-06
306,1.3339488759811502e-05
307,-1.6397885701735504e-05
308,-7.912650289654266e-06
309,9.60025681706611e-06
310,1.0578325600363314e-05
311,6.767585546185728e-06
312,-4.775598426931538e-06
313,1.5806223018444143e-05
314,-6.188640327309258e-06
315,-5.165015863894951e-06
316,1.3409822713583708e-05
317,5.028244686400285e-06
318,6.825001946708653e-06
319,9.627948202250991e-06
320,7.412297691189451e-06
321,-6.969826699787518e-06
322,5.571640940615907e-06
323,7.632743290741928e-06
324,6.399171525117708e-06
325,-1.093186619982589e-05
326,-4.779382834385615e-06
327,-1.672989674261771e-05
328,-1.3112020496919286e-05
329,-6.934145858394913e-06
330,-9.136081644101068e-06
331,5.430127657746198e-06
332,-1.451989828638034e-05
333,-5.336695267033065e-06
334,-8.87412443262292e-06
335,-2.5333558824058855e-06
336,-8.019208507903386e-06
337,-1.6968793715932406e-05
338,-6.357224719977239e-06
339,-1.4442309748119442e-06
340,-5.779983439424541e-06
341,-1.7012413081829436e-05
342,3.3899578966156696e-07
343,-2.636270210132352e-06
344,1.2331069228821434e-05
345,8.661518222652376e-06
346,-2.3695674826740287e-06
347,-5.22057734997361e-06
348,9.9348744697636e-07
349,-1.4856806956231594e-05
350,5.892142098673503e-07
351,-9.69636494119186e-06
352,7.612893568875734e-06
353,-7.804713277437259e-06
354,-9.071184649656061e-06
355,-2.19447429117281e-06
356,1.7525977455079556e-05
357,-4.4532046672429715e-07
358,-1.1963641554757487e-05
359,-1.1373785127943847e-05
360,-1.6347998155197274e-07
361,-1.55503730638884e-05
362,1.7910622773342766e-05
363,-6.554292667715345e-06
364,-1.1716865628841333e-05
365,-1.078231434803456e-05
366,-6.534860858664615e-06
367,-9.694950676930603e-06
368,8.583686394558754e-06
369,1.5444304153788835e-05
370,1.0915318853221834e-06
371,-2.786260893117287e-06
372,-9.909054824674968e-06
373,-5.845304713147925e-06
374,-1.3348830179893412e-05
375,1.3455815860652365e-05
376,-4.675171112467069e-06
377,2.4888970528991194e-06
378,-8.066871487244498e-06
379,-2.3570161999941774e-07
380,1.215866177517455e-05
381,-1.3443848729366437e-05
382,6.780854164389893e-06
383,-2.074106760119321e-06
384,-2.048359874606831e-06
385,-1.0809947525558528e-05
386,-4.720282959169708e-06
387,7.0432142820209265e-06
388,-1.3181656868255232e-05
389,-1.6588843209319748e-05
390,-2.2209260350791737e-06
391,1.4567049220204353e-05
392,-6.957763076798074e-08
393,-1.2515209979468978e-09
394,7.607648058183258e-06
395,-7.412060767819639e-06
396,-1.465202967665391e-05
397,1.4078575986786745e-05
398,9.152492566499859e-06
399,1.921584726005676e-06
400,5.890893589821644e-06
401,-1.3177425728372327e-07
402,-1.6434965800726786e-05
403,-5.433556452771882e-06
404,-1.6814168702694587e-05
405,-3.054758224152465e-07
406,2.1497635316336527e-06
407,2.6709772100730333e-06
408,-1.1346623068675399e-05
409,1.3472463251673616e-06
410,-1.7946294974535704e-05
411,-1.4092065612203442e-05
412,-7.245043320835975e-07
413,5.871445864613634e-06
414,1.600060932105407e-05
415,4.309906671551289e-06
416,-9.410634334017232e-07
417,1.4621375157730654e-05
418,1.0836568435479421e-05
419,1.4187671695253812e-05
420,-1.4195957191986963e-05
421,-1.3239512554719113e-05
422,-1.4353855476656463e-05
423,4.679698122345144e-06
424,-4.4410871851141565e-06
425,-8.457865988020785e-06
426,-1.413689460605383e-05
427,9.791421689442359e-06
428,-7.894343070802279e-06
429,1.6868199963937514e-05
430,-9.685149052529596e-06
431,-7.322757028305205e-06
432,6.9770785557921045e-06
433,-1.6910285921767354e-05
434,1.7205742551595904e-05
435,-1.3846703950548545e-05
436,1.0393549018772319e-05
437,2.7547648642212152e-06
438,-8.692983101354912e-06
439,-4.0037220969679765e-06
440,-7.659011316718534e-06
441,9.955413588613737e-06
442,7.4569529715518e-06
443,8.332732249982655e-06
444,-1.11795425254968e-05
445,-5.737052561016753e-06
446,6.892599230923224e-06
447,-9.965440767700784e-06
448,-9.654232599132229e-06
449,-5.630151463265065e-06
450,7.096691660990473e-07
451,-3.0269416129158344e-06
452,1.424283800588455e-05
453,3.5634775485959835e-07
454,-1.1149182682856917e-05
455,1.811705260479357e-05
456,8.693829840922263e-06
457,-5.819090802106075e-06
458,1.7514743376523256e-05
459,-8.667459951539058e-06
460,7.994282896106597e-06
461,-8.135448297252879e-06
462,1.5222553884086665e-05
463,-1.0530126928642858e-05
464,-4.760942829307169e-06
465,1.6384532500524074e-05
466,-1.0510672154850909e-06
467,1.4554321751347743e-05
468,1.5824030924704857e-05
469,-1.2345135473879054e-05
470,-8.717142009118106e-06
471,6.297212621575454e-06
472,-1.1951146007049829e-05
473,-1.7697873317956692e-06
474,-1.5827278048163862e-06
475,3.0282251373137115e-06
476,-3.441356966504827e-06
477,-3.3612011520745e-06
478,9.833434887696058e-06
479,1.3071139619569294e-05
480,6.354661309160292e-06
481,-6.804140184613061e-07
482,-3.1741217298986157e-06
483,6.580730769201182e-06
484,-1.6814916307339445e-05
485,-1.1164667739649303e-05
486,1.6808960481284885e-06
487,1.5317766155931167e-05
488,-8.100832928903401e-06
489,-5.528746896743542e-06
490,1.7015510820783675e-05
491,7.35828416509321e-06
492,9.148259778157808e-06
493,1.0353953257435933e-05
494,-7.8009898061282e-06
495,-1.0556344932410866e-05
496,-1.1377876035112422e-05
497,1.2163615792815108e-05
498,9.08039237401681e-06
499,1.2156687262177002e-05
500,9.826917448663153e-06
